Exchange,Type,Volume,TVL,OI,Token,Market Cap,FDV,Pairs,Founder
Ostium,dex,"$15,920,150.00","$47,066,348.42","$62,067,438.67",,,,18,Marco Antonio Ribeiro
ApeX Protocol,dex,"$399,301,134.00","$21,832,614.96","$50,732,836.79",APEX,"$34,036,249.00","$138,519,063.00",48,Eugene Zhu Yuchen
KiloEx,dex,"$17,494,876.00","$8,463,447.11",,KILO,"$4,465,444.00","$21,093,262.00",134,Joey Ni
Lighter(Invite Only),dex,"$4,081,396,267.36","$200,158,765.38","$220,768,706.59",,,,56,https://x.com/vnovakovski
Paradex,dex,"$70,384,032.00","$55,876,580.22","$75,507,756.58",,,,62,Anand Gomes
Extended,dex,"$66,851,814.00","$33,181,737.43","$50,696,723.74",,,,56,Ruslan Fakhrutdinov
Hyperliquid,dex,"$7,117,802,474.00","$4,435,887,115.89","$10,879,863,957.19",HYPE,"$12,859,910,499.00","$38,522,562,765.00",180,https://x.com/chameleon_jeff
Jupiter,dex,"$525,946,134.00","$2,444,161,885.89","$465,108,300.00",JUP,"$1,466,938,998.00","$3,357,256,542.00",3,Meow(Anon)
dYdX,dex,"$225,287,092.00","$305,081,765.53","$170,747,684.37",dYdX,"$432,532,691.00","$547,031,593.00",232,Antonio Juliano
GMX,dex,"$163,504,034.00","$626,992,421.18","$302,121,943.00",GMX,"$140,013,741.00","$140,013,741.00",67,X(Anon)
Drift,dex,"$302,515,288.00","$1,058,158,086.54","$391,474,934.97",DRIFT,"$183,315,380.00","$527,607,457.00",71,Cindy Leow
Gains Network,dex,"$128,307,355.00","$57,571,078.70",,GNS,"$53,528,489.00","$53,528,489.00",270,Seb(Anon)
GRVT,dex,"$44,236,569.00","$8,320,378.90","$6,653,933.96",,,,27,Hong Gyu Yea
Aster,dex,"$141,714,848.00","$379,513,381.23",,,,,42,Captain(Anon)
edgeX,dex,"$905,753,631.96","$119,267,705.14","$178,655,263.20",,,,46,https://x.com/thedanyuan
Avantis,dex,"$82,292,446.00","$22,082,724.72",,,,,73,Harsehaj Singh
Reya Network,dex,"$13,639,463.00","$24,281,098.63",,,,,60,
Backpack,cex,"$550,629,147.96",,"$468,311,301.48",,,,33,https://x.com/armaniferrante
Merkle Trade,dex,"$10,613,937.00","$5,029,227.36",,MKL,"$1,870,258.00","$6,106,155.00",55,https://x.com/yeptos