Exchange,Volume,TVL,Pairs,Maker Fees,Taker Fees,Leverage,Property
Hyperliquid,"$7,117,802,474.00","$4,435,887,115.89",180,0.01%,0.045%,40x,https://app.hyperliquid.xyz/join/HANSOLAR
Lighter(Invite Only),"$4,081,396,267.36","$200,158,765.38",56,0%,0%,50x,https://app.lighter.xyz/
edgeX,"$905,753,631.96","$119,267,705.14",46,0.015%,0.038%,100x,https://pro.edgex.exchange/referral/landing/322111283
Backpack,"$550,629,147.96",,33,0.02%,0.05%,50x,https://backpack.exchange/join/fh94u85r
Jupiter,"$525,946,134.00","$2,444,161,885.89",3,0.06%,0.06%,100x,https://jup.ag/
ApeX Protocol,"$399,301,134.00","$21,832,614.96",48,0%,0.025%,50x,https://omni.apex.exchange/referral?code=1M66499L
Drift,"$302,515,288.00","$1,058,158,086.54",71,-0.01%,0.025%,50x,https://app.drift.trade/ref/hansolar
dYdX,"$225,287,092.00","$305,081,765.53",232,0.02%,0.05%,20x,https://dydx.trade/?ref=BriefLaw2AT
GMX,"$163,504,034.00","$626,992,421.18",67,0.04%,0.06%,100x,https://app.gmx.io/#/trade/?ref=hansolar
Aster,"$141,714,848.00","$379,513,381.23",42,0.01%,0.035%,100x,https://www.asterdex.com/en/referral/e9b0Db
Gains Network,"$128,307,355.00","$57,571,078.70",270,0.06%,0.06%,200x,http://gains.trade/
Avantis,"$82,292,446.00","$22,082,724.72",73,0.045%,0.045%,75x,https://www.avantisfi.com/referral?code=hansolar21
Paradex,"$70,384,032.00","$55,876,580.22",62,0%,0.02%,20x,https://app.vertexprotocol.com?referrer=hansolar
Extended,"$66,851,814.00","$33,181,737.43",56,0%,0.025,50x,http://app.extended.exchange/join/HANSOLAR
GRVT,"$44,236,569.00","$8,320,378.90",27,0.027%,0.055%,50x,https://grvt.io/exchange/sign-up?ref=LPNSUM6
KiloEx,"$17,494,876.00","$8,463,447.11",134,0.07%,0.07%,100x,https://app.kiloex.io/
Ostium,"$15,920,150.00","$47,066,348.42",18,0%,0.1%,200x,https://ostium.app/trade?from=CL&to=USD&ref=YTBYB
Reya Network,"$13,639,463.00","$24,281,098.63",60,0.04%,0.04%,25x,https://app.reya.xyz/?referredBy=pkeehw54
Merkle Trade,"$10,613,937.00","$5,029,227.36",55,0.03%,0.06%,150,https://merkle.trade/r/LO0S39XO
Variational(Closed Beta),"$9,070,000.00",,519,0%,0%,50x,Perpetual%20Pulse%202450ef85b75880119955e717812a189b/perpetualpulse%20xyz%202450ef85b7588165925de524ef9a8771/Variational(Closed%20Beta)%202450ef85b758817cbde4eb02e336230e.md
Hibachi,"$7,184,003.00","$1,200,000.00",17,0.045%,0.045%,,https://hibachi.xyz/r/hansolar
Vest Exchange,"$5,536,116.00","$2,002,736.53",38,0.01%,0.01%,50x,https://trade.vest.exchange/trade/ETH-PERP?ref=HSOLR